ccode,predicted_intensity,prob_0,prob_1,prob_2,actual_intensity,origin_year,target_year,horizon
900,0,0.7581031679795022,0.19172085082194734,0.05017598119855011,0,2020,2022,2
920,0,0.7781571021105005,0.17584706489105925,0.04599583299844011,0,2020,2022,2
940,0,0.8308018554244492,0.1200978085803868,0.049100335995164196,0,2020,2022,2
950,0,0.7361273444567155,0.18646812563694254,0.0774045299063402,0,2020,2022,2
2,0,0.6940352749158175,0.22775631213548342,0.07820841294869932,0,2021,2022,1
20,0,0.8201278134289514,0.13083568680767377,0.049036499763376075,0,2021,2022,1
40,0,0.7138691253620205,0.1937176782285821,0.0924131964093963,0,2021,2022,1
41,0,0.7257837278344568,0.19143039602540163,0.08278587614013917,0,2021,2022,1
42,0,0.7239066014735492,0.18683602471856375,0.08925737380788525,0,2021,2022,1
51,0,0.8643535733511715,0.10396194925269583,0.03168447739613306,0,2021,2022,1
52,0,0.8511614953218456,0.11467630678914181,0.03416219788901327,0,2021,2022,1
70,0,0.73959135579354,0.183680841322145,0.07672780288431456,0,2021,2022,1
90,0,0.7079784623024169,0.2045774949104968,0.08744404278708717,0,2021,2022,1
91,0,0.781895287881857,0.14990761815449422,0.06819709396364647,0,2021,2022,1
92,0,0.8168099774385407,0.1345011278104674,0.04868889475098956,0,2021,2022,1
93,0,0.7520124432868862,0.1765776389998747,0.07140991771323693,0,2021,2022,1
94,0,0.8612750964413839,0.10879771684972196,0.029927186708894937,0,2021,2022,1
95,0,0.8412375494438079,0.12179717284044755,0.03696527771574483,0,2021,2022,1
100,1,0.12381246174760602,0.6039141872199187,0.2722733510324753,1,2021,2022,1
101,0,0.6699052811598887,0.21408329612959875,0.1160114227105121,0,2021,2022,1
110,0,0.785120437947076,0.14590776633963906,0.06897179571328314,0,2021,2022,1
130,0,0.7154541344111078,0.19923350033725554,0.0853123652516353,0,2021,2022,1
135,0,0.7798125143014945,0.17237555876077734,0.04781192693772839,0,2021,2022,1
140,0,0.7178090289186965,0.2008259441308422,0.08136502695046056,0,2021,2022,1
145,0,0.6992211502357758,0.19569716272612023,0.10508168703810242,0,2021,2022,1
150,0,0.8230345370204125,0.1283593386397408,0.04860612433984714,0,2021,2022,1
155,0,0.834247379239313,0.12347531075126433,0.042277310009423204,0,2021,2022,1
160,0,0.8241038975434155,0.14182675794633984,0.034069344510243765,0,2021,2022,1
165,0,0.8676107498058855,0.10612122292761023,0.02626802726650373,0,2021,2022,1
200,0,0.757668601709105,0.1799446162174364,0.0623867820734575,0,2021,2022,1
205,0,0.8788310032375516,0.09545514419994686,0.025713852562501062,0,2021,2022,1
210,0,0.838504760119926,0.12037626397848894,0.041118975901585315,0,2021,2022,1
211,0,0.8026851880219916,0.13517428075463012,0.06214053122337622,0,2021,2022,1
225,0,0.83381884556022,0.11990851806565099,0.04627263637412859,0,2021,2022,1
230,0,0.8195751562718866,0.13564768498974175,0.04477715873837252,0,2021,2022,1
235,0,0.8532567862444209,0.10571074967076041,0.041032464084818726,0,2021,2022,1
255,0,0.853343829389903,0.10756058369972672,0.03909558691037035,0,2021,2022,1
290,0,0.8413624263834416,0.11499066251707987,0.04364691109947721,0,2021,2022,1
305,0,0.8411927344594021,0.11349448573699013,0.04531277980360708,0,2021,2022,1
